<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20151102,110000,90.2500000,90.6900000,89.6600000,90.1200000,10459350
SBER,60,20151102,120000,90.1300000,91.9000000,90.1000000,91.7500000,21664690
SBER,60,20151102,130000,91.7500000,92.3400000,91.4100000,92.0200000,16660250
SBER,60,20151102,140000,92.0200000,92.2800000,91.6600000,92.0900000,7806700
SBER,60,20151102,150000,92.0900000,93.6000000,92.0400000,93.0000000,26877040
SBER,60,20151102,160000,92.9900000,93.1800000,92.5500000,93.0700000,8743910
SBER,60,20151102,170000,93.0700000,93.2500000,92.3800000,92.7400000,8478360
SBER,60,20151102,180000,92.7500000,93.0900000,92.5000000,92.9200000,8359450
SBER,60,20151102,190000,92.9400000,93.8000000,92.8700000,93.6500000,15933260
SBER,60,20151103,110000,93.8600000,95.1000000,93.3200000,94.9500000,25948780
SBER,60,20151103,120000,94.9400000,95.2000000,94.0800000,94.3200000,21249660
SBER,60,20151103,130000,94.3200000,94.9000000,93.8800000,94.7500000,12429590
SBER,60,20151103,140000,94.7600000,95.0000000,94.4000000,94.4700000,11549470
SBER,60,20151103,150000,94.4500000,95.0000000,94.3200000,94.6200000,9660300
SBER,60,20151103,160000,94.6200000,94.7400000,94.1700000,94.3300000,7005250
SBER,60,20151103,170000,94.3300000,94.9300000,94.1700000,94.8500000,4813990
SBER,60,20151103,180000,94.8500000,94.9700000,94.3700000,94.6400000,6131090
SBER,60,20151103,190000,94.6400000,95.5900000,94.5500000,95.4000000,23604560
SBER,60,20151105,110000,96.0000000,96.4400000,94.6900000,94.7800000,29482900
SBER,60,20151105,120000,94.7800000,95.6800000,94.6000000,95.3000000,17747840
SBER,60,20151105,130000,95.2700000,95.4900000,94.8000000,95.2300000,10463730
SBER,60,20151105,140000,95.2300000,95.2800000,94.6200000,95.0500000,10137500
SBER,60,20151105,150000,95.0300000,95.4900000,94.9600000,95.4000000,6349380
SBER,60,20151105,160000,95.4100000,96.0500000,94.9100000,95.9000000,11286000
SBER,60,20151105,170000,95.9000000,96.6000000,95.6000000,95.9800000,16347500
SBER,60,20151105,180000,95.9800000,96.0700000,95.1800000,96.0000000,13805750
SBER,60,20151105,190000,95.9900000,96.0000000,95.4300000,95.5000000,11058570
SBER,60,20151106,110000,95.5000000,95.9100000,94.9000000,95.2300000,11001600
SBER,60,20151106,120000,95.2000000,95.5900000,94.9500000,95.2400000,11794380
SBER,60,20151106,130000,95.2400000,95.2500000,93.8500000,94.4600000,21725100
SBER,60,20151106,140000,94.4700000,94.7800000,94.3300000,94.5100000,8302060
SBER,60,20151106,150000,94.5100000,94.9000000,94.4500000,94.7600000,7899280
SBER,60,20151106,160000,94.7600000,94.8500000,94.2400000,94.5200000,7096060
SBER,60,20151106,170000,94.5100000,94.6800000,93.6300000,93.8100000,13623420
SBER,60,20151106,180000,93.8100000,94.3600000,93.6800000,93.7000000,10042980
SBER,60,20151106,190000,93.7100000,94.1400000,93.5700000,94.0900000,15077600
SBER,60,20151109,110000,94.4900000,94.6600000,93.7000000,94.2000000,7626310
SBER,60,20151109,120000,94.2000000,94.5900000,93.7100000,94.4500000,8011980
SBER,60,20151109,130000,94.4500000,94.7900000,93.3700000,93.7600000,16302750
SBER,60,20151109,140000,93.7500000,93.8000000,92.9800000,93.0000000,11637070
SBER,60,20151109,150000,93.0300000,93.8800000,92.8800000,93.8000000,9199910
SBER,60,20151109,160000,93.7900000,93.9900000,93.3600000,93.8200000,6446830
SBER,60,20151109,170000,93.8300000,93.9500000,93.3900000,93.4400000,3820500
SBER,60,20151109,180000,93.4400000,93.7200000,93.0600000,93.1600000,6304070
SBER,60,20151109,190000,93.1600000,93.3200000,92.7000000,92.9500000,9616160
SBER,60,20151110,110000,92.7600000,92.9500000,92.3000000,92.6700000,8255870
SBER,60,20151110,120000,92.6900000,92.8800000,92.4300000,92.5700000,6200460
SBER,60,20151110,130000,92.5700000,92.7300000,92.1000000,92.2300000,8476630
SBER,60,20151110,140000,92.2300000,92.3300000,92.0200000,92.2600000,5842010
SBER,60,20151110,150000,92.2600000,92.4500000,92.0800000,92.4000000,2376420
SBER,60,20151110,160000,92.4000000,93.3000000,92.2900000,92.9200000,11440580
SBER,60,20151110,170000,92.9500000,93.8100000,92.9200000,93.2600000,9716060
SBER,60,20151110,180000,93.2400000,93.7700000,93.1900000,93.5900000,6075820
SBER,60,20151110,190000,93.6500000,94.4200000,93.6300000,94.3500000,13023100
SBER,60,20151111,110000,94.2000000,94.4500000,93.8500000,94.3100000,8990290
SBER,60,20151111,120000,94.3100000,94.3400000,93.2200000,93.5600000,8669570
SBER,60,20151111,130000,93.5600000,94.0700000,93.5400000,93.7700000,4139320
SBER,60,20151111,140000,93.7700000,93.9500000,93.6200000,93.6500000,2448930
SBER,60,20151111,150000,93.6500000,93.9400000,93.4800000,93.6100000,2501930
SBER,60,20151111,160000,93.6100000,93.6100000,92.8100000,93.0300000,8944480
SBER,60,20151111,170000,93.0300000,93.6800000,92.6500000,93.6500000,8842690
SBER,60,20151111,180000,93.6400000,94.8600000,93.5600000,94.2200000,18586270
SBER,60,20151111,190000,94.2500000,94.4000000,93.1600000,94.0000000,14331740
SBER,60,20151112,110000,93.4300000,93.7100000,92.8800000,93.1300000,8222450
SBER,60,20151112,120000,93.1200000,93.9000000,93.0000000,93.9000000,7156090
SBER,60,20151112,130000,93.9000000,93.9300000,93.1000000,93.2400000,5628510
SBER,60,20151112,140000,93.2100000,93.6000000,93.0700000,93.3400000,4215030
SBER,60,20151112,150000,93.3400000,93.4800000,93.0100000,93.1500000,4528280
SBER,60,20151112,160000,93.1500000,93.2900000,92.6900000,93.1500000,7337970
SBER,60,20151112,170000,93.1500000,94.1400000,93.1500000,93.7300000,14421990
SBER,60,20151112,180000,93.7300000,94.3400000,93.5500000,94.3300000,10999110
SBER,60,20151112,190000,94.3400000,94.7700000,94.1000000,94.2900000,16611490
SBER,60,20151113,110000,93.4200000,93.7500000,92.9600000,93.4900000,10399470
SBER,60,20151113,120000,93.4500000,94.1700000,93.3700000,94.0800000,10861300
SBER,60,20151113,130000,94.0700000,94.3800000,93.7700000,94.1400000,5427450
SBER,60,20151113,140000,94.1400000,94.3900000,93.6500000,93.6800000,5161410
SBER,60,20151113,150000,93.7000000,93.8500000,93.2500000,93.7000000,9907590
SBER,60,20151113,160000,93.6900000,93.8800000,93.4400000,93.8100000,3299500
SBER,60,20151113,170000,93.8200000,94.3200000,93.5400000,93.9600000,7788790
SBER,60,20151113,180000,93.9400000,94.0500000,93.2500000,93.4800000,11050210
SBER,60,20151113,190000,93.4800000,93.6300000,93.1500000,93.4000000,14985800
SBER,60,20151116,110000,93.0900000,93.8000000,93.0100000,93.4800000,7446300
SBER,60,20151116,120000,93.4900000,94.0500000,93.2000000,93.8100000,10430360
SBER,60,20151116,130000,93.8100000,94.0000000,93.6000000,93.7600000,6203540
SBER,60,20151116,140000,93.7400000,94.6600000,93.7100000,94.6100000,9658920
SBER,60,20151116,150000,94.6100000,94.8000000,94.3500000,94.5500000,7233140
SBER,60,20151116,160000,94.5500000,94.7400000,94.4600000,94.5300000,4891440
SBER,60,20151116,170000,94.5400000,94.7300000,94.1100000,94.2500000,8215990
SBER,60,20151116,180000,94.2500000,95.5400000,94.2000000,95.2700000,16620540
SBER,60,20151116,190000,95.2500000,96.1400000,95.2300000,95.8000000,17301800
SBER,60,20151117,110000,96.5200000,97.7700000,96.5200000,97.6200000,25996770
SBER,60,20151117,120000,97.6200000,98.1000000,97.4600000,97.7400000,16356510
SBER,60,20151117,130000,97.7400000,99.8000000,97.7400000,99.5500000,28724060
SBER,60,20151117,140000,99.5300000,99.8000000,99.2100000,99.5200000,12698970
SBER,60,20151117,150000,99.5100000,100.1500000,99.4200000,99.7600000,17622080
SBER,60,20151117,160000,99.7300000,100.2000000,99.6200000,99.8100000,10558360
SBER,60,20151117,170000,99.7900000,100.4500000,99.5600000,100.3400000,11528180
SBER,60,20151117,180000,100.3200000,101.2700000,100.2600000,101.2200000,31155100
SBER,60,20151117,190000,101.2400000,102.6700000,101.2300000,102.5000000,26100100
SBER,60,20151118,110000,102.7800000,104.3200000,101.7400000,102.4700000,33336990
SBER,60,20151118,120000,102.4900000,103.2800000,102.0000000,102.6000000,18100100
SBER,60,20151118,130000,102.5900000,102.9900000,102.3000000,102.8400000,6375570
SBER,60,20151118,140000,102.8400000,103.9500000,102.8100000,103.5900000,14342090
SBER,60,20151118,150000,103.5800000,104.5900000,103.4200000,104.1000000,15302490
SBER,60,20151118,160000,104.0700000,104.4700000,103.9500000,104.0700000,11923620
SBER,60,20151118,170000,104.0400000,104.4300000,103.7000000,104.2900000,10611010
SBER,60,20151118,180000,104.3000000,104.3000000,103.3100000,104.1500000,15813210
SBER,60,20151118,190000,104.1500000,104.1900000,103.9100000,104.0000000,10660120
SBER,60,20151119,110000,104.6300000,105.8000000,102.5400000,103.2200000,28617650
SBER,60,20151119,120000,103.2000000,104.5900000,103.0800000,104.3000000,13534340
SBER,60,20151119,130000,104.3000000,104.4800000,103.5900000,104.4400000,11442690
SBER,60,20151119,140000,104.4400000,106.6400000,104.4000000,106.4000000,23630700
SBER,60,20151119,150000,106.4000000,108.5500000,106.4000000,108.3500000,38391670
SBER,60,20151119,160000,108.3400000,108.4400000,106.4600000,106.5500000,22940860
SBER,60,20151119,170000,106.5400000,107.0400000,106.4100000,106.5400000,14228480
SBER,60,20151119,180000,106.5400000,107.4800000,105.7400000,106.8200000,20833210
SBER,60,20151119,190000,106.7800000,106.8500000,104.6000000,104.8600000,17358040
SBER,60,20151120,110000,104.3400000,105.3800000,103.6700000,105.2700000,16246040
SBER,60,20151120,120000,105.2700000,106.2000000,105.0600000,105.8800000,14029280
SBER,60,20151120,130000,105.8900000,105.9500000,104.6000000,105.0300000,9811550
SBER,60,20151120,140000,105.0500000,105.2000000,104.6000000,104.8400000,3808340
SBER,60,20151120,150000,104.8200000,104.8800000,103.1900000,104.1000000,16512410
SBER,60,20151120,160000,104.1000000,105.1500000,104.0200000,104.8000000,11075670
SBER,60,20151120,170000,104.7800000,106.1000000,104.6500000,105.6800000,11053640
SBER,60,20151120,180000,105.6800000,106.9500000,105.4000000,106.2400000,16878850
SBER,60,20151120,190000,106.2600000,107.3000000,106.2100000,107.3000000,14250010
SBER,60,20151123,110000,106.8500000,107.4300000,105.2200000,107.4300000,24405790
SBER,60,20151123,120000,107.4300000,108.4400000,106.6700000,107.0700000,36730440
SBER,60,20151123,130000,107.0700000,108.0500000,107.0200000,107.5200000,8783130
SBER,60,20151123,140000,107.5500000,107.6000000,107.0000000,107.3300000,7136670
SBER,60,20151123,150000,107.3200000,108.3100000,107.1200000,107.9300000,12078790
SBER,60,20151123,160000,107.9500000,110.3200000,107.7200000,109.3200000,39514220
SBER,60,20151123,170000,109.3200000,110.0000000,109.1100000,109.7300000,13062290
SBER,60,20151123,180000,109.7300000,110.1100000,109.1100000,109.1700000,17334090
SBER,60,20151123,190000,109.2000000,110.1100000,108.8600000,109.9800000,14131900
SBER,60,20151124,110000,109.8300000,110.7000000,108.7200000,108.7700000,22173310
SBER,60,20151124,120000,108.8100000,109.5500000,107.6400000,107.9500000,29278100
SBER,60,20151124,130000,107.9600000,108.7300000,107.6800000,108.4900000,9940360
SBER,60,20151124,140000,108.4600000,108.4900000,106.5000000,106.5500000,17879430
SBER,60,20151124,150000,106.5500000,107.9100000,106.3300000,107.4600000,11511470
SBER,60,20151124,160000,107.4500000,107.5100000,105.9000000,106.5700000,17226390
SBER,60,20151124,170000,106.5600000,106.6900000,105.1500000,105.2500000,17660230
SBER,60,20151124,180000,105.2300000,105.7900000,105.1500000,105.5500000,15081350
SBER,60,20151124,190000,105.5500000,106.0000000,105.1500000,105.6000000,13373890
SBER,60,20151125,110000,106.2100000,107.8000000,106.0300000,107.2000000,21587200
SBER,60,20151125,120000,107.2000000,107.2900000,106.4000000,107.1500000,12684300
SBER,60,20151125,130000,107.1200000,107.4800000,106.1500000,106.5000000,10970590
SBER,60,20151125,140000,106.5000000,106.7700000,105.4400000,105.9300000,15525080
SBER,60,20151125,150000,105.9400000,107.3000000,105.6500000,106.9800000,11269380
SBER,60,20151125,160000,107.0000000,107.4000000,106.5000000,107.3800000,8298560
SBER,60,20151125,170000,107.3600000,108.0000000,107.2500000,107.3400000,14554340
SBER,60,20151125,180000,107.3600000,107.8000000,107.2500000,107.7000000,7498110
SBER,60,20151125,190000,107.7000000,108.9400000,107.5100000,108.5100000,17051260
SBER,60,20151126,110000,108.7800000,109.3000000,107.7900000,108.3800000,10789660
SBER,60,20151126,120000,108.3700000,108.5700000,107.6100000,107.8200000,7731380
SBER,60,20151126,130000,107.8200000,108.2600000,107.4400000,107.9900000,5704430
SBER,60,20151126,140000,107.9900000,109.1500000,107.9500000,108.6900000,9789210
SBER,60,20151126,150000,108.7000000,108.8900000,107.7000000,107.8500000,6794020
SBER,60,20151126,160000,107.8500000,108.1000000,106.7000000,107.0400000,12125440
SBER,60,20151126,170000,107.0400000,107.1900000,106.0300000,106.2400000,11346340
SBER,60,20151126,180000,106.2900000,106.4600000,105.6000000,105.7100000,8200080
SBER,60,20151126,190000,105.7000000,106.5000000,105.6300000,106.4800000,8113600
SBER,60,20151127,110000,105.7400000,106.0600000,104.1000000,104.8900000,18454940
SBER,60,20151127,120000,104.8900000,105.5900000,104.5500000,105.2200000,9216990
SBER,60,20151127,130000,105.2200000,105.3400000,104.2600000,104.6800000,11641570
SBER,60,20151127,140000,104.6800000,104.9800000,104.2700000,104.6600000,5674330
SBER,60,20151127,150000,104.6600000,105.1000000,104.0000000,104.0000000,11160390
SBER,60,20151127,160000,104.0400000,104.9600000,103.7000000,104.8300000,12917910
SBER,60,20151127,170000,104.8000000,105.5700000,104.5500000,104.7100000,10466650
SBER,60,20151127,180000,104.7300000,105.3000000,104.7300000,105.0300000,7056380
SBER,60,20151127,190000,105.0300000,105.1800000,104.5500000,104.5500000,6657510
SBER,60,20151130,110000,103.9000000,105.1400000,103.9000000,104.9400000,10101050
SBER,60,20151130,120000,104.9600000,105.9000000,104.6000000,104.6500000,11203150
SBER,60,20151130,130000,104.6200000,105.5000000,103.8200000,104.3200000,11034890
SBER,60,20151130,140000,104.3500000,105.4200000,104.0900000,105.1600000,8460700
SBER,60,20151130,150000,105.2000000,105.6900000,104.7000000,104.7500000,8074990
SBER,60,20151130,160000,104.7900000,105.2000000,104.3200000,104.7700000,5115050
SBER,60,20151130,170000,104.8000000,105.0500000,104.4300000,104.6700000,3313260
SBER,60,20151130,180000,104.7100000,105.4000000,104.5100000,104.8700000,7207090
SBER,60,20151130,190000,104.8700000,104.9600000,102.7500000,102.9000000,22583760
SBER,60,20151201,110000,103.5100000,103.9000000,102.6000000,103.0800000,14103880
SBER,60,20151201,120000,103.0800000,103.2300000,102.6500000,102.7700000,8355120
SBER,60,20151201,130000,102.7700000,103.3900000,101.7200000,101.7600000,17917260
SBER,60,20151201,140000,101.7600000,102.4700000,101.6500000,102.0000000,10873650
SBER,60,20151201,150000,102.0000000,102.4000000,101.7600000,101.8900000,5870660
SBER,60,20151201,160000,101.8900000,102.2700000,101.5600000,102.0600000,6149420
SBER,60,20151201,170000,102.0300000,102.0700000,100.9400000,101.3600000,12357330
SBER,60,20151201,180000,101.3500000,101.7200000,100.6200000,100.6700000,11597790
SBER,60,20151201,190000,100.7000000,101.3000000,100.6000000,101.3000000,11515810
